Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
0675fe32-edf9-8d98-1843-c7a5e97aee4b,1988-09-19,,999-13-3569,S99968953,X65692133X,Mrs.,Michel472,Liane379,Stehr398,,Ferry570,D,white,nonhispanic,F,Haverhill  Massachusetts  US,223 Cremin Divide,Dedham,Massachusetts,Norfolk County,25021.0,2090,42.22354028575625,-71.20229282252238,166057.49,641747.09,62760
06eb6dda-a918-928f-76cf-6bf370cf2014,2017-10-22,,999-92-3855,,,,Kenneth671,Vincent299,Ritchie586,,,,white,nonhispanic,M,Braintree  Massachusetts  US,343 Wisozk Hollow,Saugus,Massachusetts,Essex County,25009.0,1906,42.47477453992514,-70.99558658254415,15498.36,660.04,97576
06fe0fa1-aba9-b4f6-6231-5f41bd42492d,1967-07-07,,999-90-2097,S99967542,X1656702X,Mr.,Dong972,,Borer986,,,M,white,nonhispanic,M,Boston  Massachusetts  US,688 Yundt Camp Suite 41,Northbridge,Massachusetts,Worcester County,,0,42.144491802492,-71.66832803487107,130499.7,60272.93,37398
080b069b-5108-46b6-ecef-6aacd3b9ef3f,1966-08-16,,999-85-1223,S99933490,X3904650X,Mr.,Chester802,Richie600,Aufderhar910,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,314 Robel Quay,Wareham,Massachusetts,Plymouth County,,0,41.80610322612991,-70.67818221486861,58241.14,714785.28,23280
09570ca0-77fa-de46-54b5-14ac2040a62e,2017-02-15,,999-45-6482,,,,Kizzie166,,Collins926,,,,white,nonhispanic,F,Sudbury  Massachusetts  US,1060 Lesch Lane Unit 35,Tewksbury,Massachusetts,Middlesex County,,0,42.61796390294728,-71.27668098461947,37859.37,3039.74,152904
12ef6295-4f22-02c3-9d4d-6291a843a259,1993-01-06,,999-26-8546,S99971487,X80475602X,Mr.,Olin642,Buster609,Hessel84,,,M,white,nonhispanic,M,Mansfield Center  Massachusetts  US,843 Stracke Common Suite 7,Needham,Massachusetts,Norfolk County,25021.0,2492,42.27247949546263,-71.25195691538111,16433.13,815601.23,4325
13bbd9ac-5c42-f173-5411-4e30e7da9e8d,1962-04-11,2014-12-21,999-19-5726,S99915049,X52731903X,Mrs.,Zina602,Joyce806,Goyette777,,Parisian75,M,black,nonhispanic,F,Lynn  Massachusetts  US,614 Wisoky Neck Suite 35,Springfield,Massachusetts,Hampden County,25013.0,1104,42.090036329132445,-72.59559123267172,66933.0,1471298.31,12354
17cb5ccc-4c1f-9747-f535-e57cd464679d,2017-03-15,,999-74-5756,,,,Jefferson174,Renaldo199,Dach178,,,,white,nonhispanic,M,Millis  Massachusetts  US,804 Nolan Haven,Bridgewater,Massachusetts,Plymouth County,25023.0,2324,41.92778005644695,-70.98367305461909,35306.49,590.43,97196
18b101ed-6582-7193-5a1a-cac8e8de151c,2012-04-25,,999-47-2612,,,,Ivory697,Sam879,Miller503,,,,white,nonhispanic,M,Watertown  Massachusetts  US,359 Nitzsche Crossing,Westfield,Massachusetts,Hampden County,25013.0,1086,42.1084287062702,-72.72799251708312,37932.48,21788.89,28203
20526ee7-17ba-b863-b5f1-776defcde2e6,1972-07-25,,999-73-8834,S99967938,X69492116X,Mrs.,Sabra779,,Pfannerstill264,,Hermann103,D,white,nonhispanic,F,Dighton  Massachusetts  US,329 Wintheiser Viaduct Apt 34,Bourne,Massachusetts,Barnstable County,25001.0,2532,41.67614884377144,-70.5971448422042,290417.7,773370.56,413513
